省份,province_2022Q3,Favorable treatment effects,Trust in experts,Unfavorable treatment effects,Elevated risk of infection,treatment effects,Swift and effective control,Trust in the government,Excessive control measures,Lack of trust in the government,administration,Healthcare workers’ dedication,Adequate medical and living supplies,High construction cost,Lack of privacy,Poor medical and living conditions,Unreasonable site selecting,facility
安徽省,Anhui,39,19,39,21,118,42,16,124,649,831,33,19,84,33,12,8,189
北京市,Beijing,169,34,94,51,348,38,32,552,3528,4150,56,32,276,69,63,91,587
重庆市,Chongqing,91,40,42,19,192,34,21,291,1092,1438,49,28,86,39,42,18,262
福建省,Fujian,97,36,53,19,205,32,16,123,735,906,42,25,68,39,39,11,224
甘肃省,Gansu,25,20,32,22,99,39,15,116,679,849,34,20,63,30,36,10,193
广东省,Guangdong,149,44,116,70,379,57,46,644,3874,4621,68,36,440,87,136,149,916
广西壮族自治区,Guangxi,134,42,34,18,228,29,17,106,462,614,28,24,53,36,36,6,183
贵州省,Guizhou,27,23,30,15,95,32,26,73,258,389,31,16,28,30,29,3,137
海南省,Hainan,136,29,32,18,215,39,17,86,236,378,35,25,44,33,27,3,167
河北省,Hebei,40,12,52,32,136,41,26,299,1522,1888,38,14,94,36,36,23,241
黑龙江省,Heilongjiang,36,33,35,15,119,31,15,67,362,475,31,20,52,27,29,4,163
河南省,Henan,115,33,55,18,221,38,32,296,1862,2228,43,21,93,54,51,55,317
湖北省,Hubei,35,32,55,23,145,35,17,169,900,1121,31,14,108,42,39,9,243
湖南省,Hunan,60,15,46,20,141,35,27,127,606,795,31,14,71,33,45,5,199
内蒙古自治区,Inner Mongolia,107,24,42,15,188,38,15,117,572,742,28,11,41,30,36,8,154
江苏省,Jiangsu,50,24,65,35,174,53,23,254,1983,2313,31,17,136,45,60,33,322
江西省,Jiangxi,30,24,40,28,122,37,19,109,581,746,33,18,48,39,57,9,204
吉林省,Jilin,168,35,32,19,254,78,18,76,500,672,56,21,31,30,30,5,173
辽宁省,Liaoning,31,14,45,23,113,31,20,148,870,1069,31,14,84,30,29,14,202
宁夏回族自治区,Ningxia,22,14,32,15,83,25,16,44,95,180,24,16,40,27,27,2,136
青海省,Qinghai,10,17,30,16,73,32,19,56,200,307,26,11,44,27,51,3,162
陕西省,Shaanxi,36,30,46,20,132,37,21,167,1074,1299,32,14,85,45,45,17,238
山东省,Shandong,54,17,65,22,158,55,30,350,2319,2754,40,15,111,51,39,29,285
上海市,Shanghai,98,34,69,44,245,47,28,466,3262,3803,48,23,170,72,85,49,447
山西省,Shanxi,55,28,39,18,140,24,21,168,682,895,29,22,65,39,36,8,199
四川省,Sichuan,108,37,61,31,237,32,24,276,1553,1885,45,18,109,48,51,27,298
天津市,Tianjin,37,16,43,21,117,40,21,163,689,913,35,14,78,42,36,9,214
西藏自治区,Tibet,27,16,29,15,87,30,15,44,126,215,26,19,27,27,27,8,134
新疆维吾尔自治区,Xinjiang,31,28,45,26,130,54,36,1470,4130,5690,37,20,128,57,96,54,392
云南省,Yunnan,86,28,37,19,170,30,24,65,322,441,42,14,57,27,30,6,176
浙江省,Zhejiang,95,37,60,29,221,39,22,237,1607,1905,31,11,138,51,57,19,307
